,ReviewID,PaperID,ReviewerID,ResponsibleID,Decision,ReviewText
0,21255096ed5f4411a0bad97bc7603b89,0022f58487cd4d048a60e3f0835c4b37,b3fa6cb31ee2433ba1ec61ae51a25ca4,9b49622bcb6a4419ae11297e92ac4034,True,The authors have addressed all of the reviewers' comments and improved the paper significantly.
1,b4bb533329484335bb05cfd01375000b,0022f58487cd4d048a60e3f0835c4b37,d605e52b1e9b4d64a4b89f928c86e35a,9b49622bcb6a4419ae11297e92ac4034,True,"The writing is clear and concise, making the paper easy to understand."
2,3025b88bfc0444c486a657d4e43fced9,0022f58487cd4d048a60e3f0835c4b37,7463d194788843ab8e3a506dccfa142f,9b49622bcb6a4419ae11297e92ac4034,True,The experiments are well-designed and the results are statistically significant.
3,938e13fb85c647529b7051e5acde0c94,0022f58487cd4d048a60e3f0835c4b37,3112b9f941af49f2accd12414e380bf9,9b49622bcb6a4419ae11297e92ac4034,True,The paper presents a novel contribution to the field and is likely to have a high impact.
4,4e07b0859b794ae89f8008abdaee0b58,0022f58487cd4d048a60e3f0835c4b37,2dfc5141adb6400192c2049b87311ca4,9b49622bcb6a4419ae11297e92ac4034,True,"The writing is clear and concise, making the paper easy to understand."
5,0d5848d297c341dabda892f11b1ae7e5,006ae34c15e44b59b9429a17c5d950d4,3f5540bb4c44483d8e80809486560c37,2303f7a2ad2a4f91b1c027e21ccc34ea,True,"The writing is clear and concise, making the paper easy to understand."
6,ee2a8bb11f0d45ce8ed596aa7a7456c5,006ae34c15e44b59b9429a17c5d950d4,77d358149d8c48d5be358d07124aa39a,2303f7a2ad2a4f91b1c027e21ccc34ea,True,"The writing is clear and concise, making the paper easy to understand."
7,2477ea658b3c4d71b36c766b722678a0,006ae34c15e44b59b9429a17c5d950d4,c849f479e9404201875c7a30a823acb8,2303f7a2ad2a4f91b1c027e21ccc34ea,True,The paper presents a novel contribution to the field and is likely to have a high impact.
8,db6762d085a44ac5af56fca11c3101df,006ae34c15e44b59b9429a17c5d950d4,23528d7ae4b141baba06f1bc7eba5f59,2303f7a2ad2a4f91b1c027e21ccc34ea,True,"The writing is clear and concise, making the paper easy to understand."
9,c99e20c5d461441f900b304025e59536,006ae34c15e44b59b9429a17c5d950d4,5540e1a336314c4fa68c4c7a72174658,2303f7a2ad2a4f91b1c027e21ccc34ea,True,The experiments are well-designed and the results are statistically significant.
10,32fa8feca86f4bb9a3bcdb5d9ad92752,012130a4dc524ce4830b41b09b2a5289,3a4ea3e3d6aa4d649fa44bdf3a6ec805,024bb4fa0c2d4f28b15353bdf9f1d6fc,False,"The authors have not adequately addressed the reviewers' comments, and the paper has not improved significantly."
11,e28ed9fef5de4e68ae7063cc6e1153ed,012130a4dc524ce4830b41b09b2a5289,8484fe8cd50a440cb257eec79e5ea639,024bb4fa0c2d4f28b15353bdf9f1d6fc,False,The paper does not make a significant contribution to the field and is not likely to have a high impact.
12,9d873b8a0b1e4b0d86a42a7a7530e71e,012130a4dc524ce4830b41b09b2a5289,6264f16a724f40468c61162cca00c8eb,024bb4fa0c2d4f28b15353bdf9f1d6fc,False,The paper does not make a significant contribution to the field and is not likely to have a high impact.
13,677653d53f7146e69a3b9a99b0f834ed,012130a4dc524ce4830b41b09b2a5289,4fe643b853ee4ee0ad5d1bf552476c0d,024bb4fa0c2d4f28b15353bdf9f1d6fc,False,The paper is poorly written and difficult to follow.
